"judul_berita","tanggal_publikasi","jam_publikasi","kategori"
"1.048 Pesilat Berlaga di Kejuaraan Antar Pelajar Jakut","2020-01-31","21:13","Olahraga"
"UP JSC Terus Kembangkan Aplikasi JAKI","2020-01-31","20:48","Kesra"
"Peragaan Busana Digelar di Kereta MRT","2020-01-31","20:38","BUMD"
"Cegah Kecelakaan, Pembatas Jalan Dipasang di Jl Pagelarang","2020-01-31","19:33","Lintas Kota"
"Sudin Dukcapil Jakpus Kebut Pembuatan KIA di Sekolah","2020-01-31","19:18","Fokus"
"Ratusan Pelajar Meriahkan Hari Gizi Nasional di RPTRA Mustika Jati","2020-01-31","19:07","Lintas Kota"
"Musrenbang Kelurahan Kebon Jeruk Sepakati 91 Usulan","2020-01-31","18:51","Pemerintahan"
"TP PKK Jakut Lantik Pengurus Kecamatan Cilincing","2020-01-31","18:38","Pemberdayaan Perempuan"
"Sudin KPKP Lakukan Biosekuriti Pasar Burung Barito","2020-01-31","17:45","Kesehatan"
"Pembangunan Fasilitas MCK di Jati Pulo Rampung","2020-01-31","17:04","Pembangunan"
"Kelurahan Susukan Miliki Taman PPSU","2020-01-31","16:56","Lintas Kota"
"Tinggi Tanggul Kali Ciliwung di Pasar Baru Ditambah","2020-01-31","16:47","Fokus"
"Bapenda DKI Serap Aspirasi Warga Terkait Pengurusan STNK","2020-01-31","16:33","Ekonomi"
"FORST 2020 Bakal Fokus Pada Olahraga dan Rekreasi","2020-01-31","15:53","Olahraga"
"Turap Kali Krukut di Jalan Bank I Diperbaiki","2020-01-31","15:27","Jakarta Hari Ini"
"Lima Meter Kubik Eceng Gondok Diangkut dari Pulau Untung Jawa","2020-01-31","14:53","Jakarta Hari Ini"
"Mulai Besok, Ada Rekayasa Lalin di Kawasan Boulevard Kelapa Gading","2020-01-31","14:53","Pembangunan"
"Bank Sampah SDN 04 Sukapura Lakukan Penimbangan Perdana","2020-01-31","14:34","Kesra"
"Sudin KPKP Jaksel Terus Optimalkan Pengawasan Pangan","2020-01-31","14:12","Lintas Kota"
"Kelurahan Pulau Kelapa Gelar Kerja Bakti","2020-01-31","14:06","Kesra"
"Kolaborasi Bersama Pemkot Bekasi dan Pemprov Jabar, Anies Resmikan Flyover Cipendawa dan Rawa Panjang","2020-01-31","13:11","Fokus"
"Hujan Diprediksi Guyur Jakarta Pada Siang Hari","2020-01-31","10:01","Jakarta Hari Ini"
"Ular Kobra Sepanjang Satu Meter Dievakuasi di Cakung Barat ","2020-01-31","08:10","Jakarta Hari Ini"
"PT MRT Simulasikan Pemasangan Flood Barrier di Stasiun Dukuh Atas BNI","2020-01-30","20:15","BUMD"
"Bedah Rumah Warga di Malakasari Rampung","2020-01-30","19:48","Lintas Kota"
"Sudin Dukcapil Jaksel Siap Layani Perekaman KTP-el di Rumah","2020-01-30","19:35","Kesra"
"Warga Disosialisasikan Pencatatan Pemakaian Air SWRO","2020-01-30","19:15","Ekonomi"
"Pembangunan Flyover Tanjung Barat dan Lenteng Agung Terus Disosialisasikan","2020-01-30","18:23","Pembangunan"
"Wakil Ketua DPRD Dukung Forum Konsultasi Publik RKPD 2021","2020-01-30","18:14","Legislatif"
"DPRD Kepulauan Mentawai Pelajari Pengembangan Pariwisata Kepulauan Seribu","2020-01-30","18:04","Pemerintahan"
